观测点id: 2, 交点id: 153, 射线角度：250, 最近交点坐标: (82.73, 149.56, 1.25)
观测点id: 2, 交点id: 154, 射线角度：260, 最近交点坐标: (86.00, 151.17, 1.22)
观测点id: 2, 交点id: 155, 射线角度：270, 最近交点坐标: (88.53, 152.42, 1.20)
观测点id: 2, 交点id: 156, 射线角度：280, 最近交点坐标: (90.65, 153.46, 1.18)
观测点id: 2, 交点id: 157, 射线角度：290, 最近交点坐标: (92.56, 154.40, 1.18)
观测点id: 2, 交点id: 158, 射线角度：300, 最近交点坐标: (94.40, 155.31, 1.18)
观测点id: 2, 交点id: 159, 射线角度：310, 最近交点坐标: (96.29, 156.24, 1.18)
观测点id: 2, 交点id: 160, 射线角度：320, 最近交点坐标: (98.34, 157.25, 1.19)
观测点id: 2, 交点id: 161, 射线角度：330, 最近交点坐标: (100.75, 158.43, 1.21)
观测点id: 2, 交点id: 162, 射线角度：340, 最近交点坐标: (103.79, 159.93, 1.24)
观测点id: 2, 交点id: 163, 射线角度：350, 最近交点坐标: (108.08, 162.04, 1.30)
观测点id: 2, 交点id: 164, 射线角度：0, 最近交点坐标: (128.51, 165.48, 1.80)
观测点id: 2, 交点id: 165, 射线角度：10, 最近交点坐标: (129.91, 172.78, 1.84)
观测点id: 2, 交点id: 166, 射线角度：20, 最近交点坐标: (207.40, 208.75, 3.53)
观测点id: 2, 交点id: 167, 射线角度：50, 最近交点坐标: (124.39, 208.22, 2.12)
观测点id: 2, 交点id: 168, 射线角度：60, 最近交点坐标: (114.24, 210.01, 2.03)
观测点id: 2, 交点id: 169, 射线角度：70, 最近交点坐标: (99.94, 196.83, 1.67)
观测点id: 2, 交点id: 170, 射线角度：80, 最近交点坐标: (93.49, 193.65, 1.57)
观测点id: 2, 交点id: 171, 射线角度：90, 最近交点坐标: (88.53, 191.20, 1.51)
观测点id: 2, 交点id: 172, 射线角度：100, 最近交点坐标: (84.36, 189.14, 1.48)
观测点id: 2, 交点id: 173, 射线角度：110, 最近交点坐标: (79.91, 189.16, 1.50)
观测点id: 2, 交点id: 174, 射线角度：120, 最近交点坐标: (72.88, 192.60, 1.63)
观测点id: 2, 交点id: 175, 射线角度：130, 最近交点坐标: (67.81, 190.17, 1.64)
观测点id: 2, 交点id: 176, 射线角度：140, 最近交点坐标: (63.95, 186.11, 1.64)
观测点id: 2, 交点id: 177, 射线角度：150, 最近交点坐标: (57.85, 183.20, 1.71)
观测点id: 2, 交点id: 178, 射线角度：240, 最近交点坐标: (77.99, 147.23, 1.42)
观测点id: 2, 交点id: 179, 射线角度：250, 最近交点坐标: (82.73, 149.56, 1.34)
观测点id: 2, 交点id: 180, 射线角度：260, 最近交点坐标: (86.00, 151.17, 1.29)
观测点id: 2, 交点id: 181, 射线角度：270, 最近交点坐标: (88.53, 152.42, 1.26)
观测点id: 2, 交点id: 182, 射线角度：280, 最近交点坐标: (90.65, 153.46, 1.24)
观测点id: 2, 交点id: 183, 射线角度：290, 最近交点坐标: (92.56, 154.40, 1.24)
观测点id: 2, 交点id: 184, 射线角度：300, 最近交点坐标: (94.40, 155.31, 1.24)
观测点id: 2, 交点id: 185, 射线角度：310, 最近交点坐标: (96.29, 156.24, 1.24)
观测点id: 2, 交点id: 186, 射线角度：320, 最近交点坐标: (98.34, 157.25, 1.26)
观测点id: 2, 交点id: 187, 射线角度：330, 最近交点坐标: (100.75, 158.43, 1.28)
观测点id: 2, 交点id: 188, 射线角度：340, 最近交点坐标: (103.79, 159.93, 1.32)
观测点id: 2, 交点id: 189, 射线角度：350, 最近交点坐标: (108.08, 162.04, 1.40)
观测点id: 2, 交点id: 190, 射线角度：0, 最近交点坐标: (128.51, 165.48, 2.00)
观测点id: 2, 交点id: 191, 射线角度：10, 最近交点坐标: (129.91, 172.78, 2.05)
观测点id: 2, 交点id: 192, 射线角度：20, 最近交点坐标: (207.40, 208.75, 4.16)
观测点id: 2, 交点id: 193, 射线角度：50, 最近交点坐标: (124.39, 208.22, 2.39)
观测点id: 2, 交点id: 194, 射线角度：60, 最近交点坐标: (114.24, 210.01, 2.29)
观测点id: 2, 交点id: 195, 射线角度：70, 最近交点坐标: (99.94, 196.83, 1.83)
观测点id: 2, 交点id: 196, 射线角度：80, 最近交点坐标: (93.49, 193.65, 1.71)
观测点id: 2, 交点id: 197, 射线角度：90, 最近交点坐标: (88.53, 191.20, 1.64)
观测点id: 2, 交点id: 198, 射线角度：100, 最近交点坐标: (84.36, 189.14, 1.60)
观测点id: 2, 交点id: 199, 射线角度：110, 最近交点坐标: (79.91, 189.16, 1.63)
观测点id: 2, 交点id: 200, 射线角度：120, 最近交点坐标: (72.88, 192.60, 1.78)
观测点id: 2, 交点id: 201, 射线角度：130, 最近交点坐标: (67.81, 190.17, 1.81)
观测点id: 2, 交点id: 202, 射线角度：140, 最近交点坐标: (63.95, 186.11, 1.80)
观测点id: 2, 交点id: 203, 射线角度：150, 最近交点坐标: (57.85, 183.20, 1.89)
观测点id: 2, 交点id: 204, 射线角度：240, 最近交点坐标: (77.99, 147.23, 1.53)
观测点id: 2, 交点id: 205, 射线角度：250, 最近交点坐标: (82.73, 149.56, 1.42)
观测点id: 2, 交点id: 206, 射线角度：260, 最近交点坐标: (86.00, 151.17, 1.36)
观测点id: 2, 交点id: 207, 射线角度：270, 最近交点坐标: (88.53, 152.42, 1.33)
观测点id: 2, 交点id: 208, 射线角度：280, 最近交点坐标: (90.65, 153.46, 1.31)
观测点id: 2, 交点id: 209, 射线角度：290, 最近交点坐标: (92.56, 154.40, 1.29)
观测点id: 2, 交点id: 210, 射线角度：300, 最近交点坐标: (94.40, 155.31, 1.29)
观测点id: 2, 交点id: 211, 射线角度：310, 最近交点坐标: (96.29, 156.24, 1.30)
观测点id: 2, 交点id: 212, 射线角度：320, 最近交点坐标: (98.34, 157.25, 1.32)
观测点id: 2, 交点id: 213, 射线角度：330, 最近交点坐标: (100.75, 158.43, 1.35)
观测点id: 2, 交点id: 214, 射线角度：340, 最近交点坐标: (103.79, 159.93, 1.41)
观测点id: 2, 交点id: 215, 射线角度：350, 最近交点坐标: (108.08, 162.04, 1.50)
观测点id: 3, 交点id: 216, 射线角度：0, 最近交点坐标: (156.48, 185.86, 1.13)
观测点id: 3, 交点id: 217, 射线角度：10, 最近交点坐标: (171.26, 193.11, 1.21)
观测点id: 3, 交点id: 218, 射线角度：20, 最近交点坐标: (269.64, 236.63, 1.74)
观测点id: 3, 交点id: 219, 射线角度：30, 最近交点坐标: (300.38, 284.15, 1.98)
观测点id: 3, 交点id: 220, 射线角度：40, 最近交点坐标: (253.01, 288.96, 1.80)
观测点id: 3, 交点id: 221, 射线角度：50, 最近交点坐标: (243.65, 321.14, 1.88)
观测点id: 3, 交点id: 222, 射线角度：100, 最近交点坐标: (126.22, 208.10, 1.11)
观测点id: 3, 交点id: 223, 射线角度：110, 最近交点坐标: (122.21, 207.65, 1.12)
观测点id: 3, 交点id: 224, 射线角度：120, 最近交点坐标: (119.10, 204.98, 1.11)
观测点id: 3, 交点id: 225, 射线角度：130, 最近交点坐标: (79.75, 245.91, 1.39)
观测点id: 3, 交点id: 226, 射线角度：140, 最近交点坐标: (94.74, 215.56, 1.23)
观测点id: 3, 交点id: 227, 射线角度：150, 最近交点坐标: (101.14, 202.60, 1.17)
观测点id: 3, 交点id: 228, 射线角度：160, 最近交点坐标: (99.96, 196.84, 1.16)
观测点id: 3, 交点id: 229, 射线角度：170, 最近交点坐标: (91.51, 192.67, 1.20)
观测点id: 3, 交点id: 230, 射线角度：180, 最近交点坐标: (63.42, 185.86, 1.33)
观测点id: 3, 交点id: 231, 射线角度：220, 最近交点坐标: (92.77, 154.51, 1.24)
观测点id: 3, 交点id: 232, 射线角度：230, 最近交点坐标: (110.82, 162.84, 1.15)
观测点id: 3, 交点id: 233, 射线角度：240, 最近交点坐标: (113.63, 157.26, 1.17)
观测点id: 3, 交点id: 234, 射线角度：250, 最近交点坐标: (119.03, 155.33, 1.16)
观测点id: 3, 交点id: 235, 射线角度：260, 最近交点坐标: (123.06, 145.72, 1.20)
观测点id: 3, 交点id: 236, 射线角度：270, 最近交点坐标: (130.14, 172.89, 1.06)
观测点id: 3, 交点id: 237, 射线角度：280, 最近交点坐标: (132.24, 173.93, 1.06)
观测点id: 3, 交点id: 238, 射线角度：290, 最近交点坐标: (134.14, 174.86, 1.06)
观测点id: 3, 交点id: 239, 射线角度：300, 最近交点坐标: (135.97, 175.76, 1.06)
观测点id: 3, 交点id: 240, 射线角度：310, 最近交点坐标: (137.84, 176.68, 1.06)
观测点id: 3, 交点id: 241, 射线角度：320, 最近交点坐标: (139.88, 177.69, 1.06)
观测点id: 3, 交点id: 242, 射线角度：330, 最近交点坐标: (142.26, 178.86, 1.07)
观测点id: 3, 交点id: 243, 射线角度：340, 最近交点坐标: (145.28, 180.35, 1.08)
观测点id: 3, 交点id: 244, 射线角度：350, 最近交点坐标: (149.53, 182.44, 1.10)
观测点id: 3, 交点id: 245, 射线角度：0, 最近交点坐标: (156.48, 185.86, 1.26)
观测点id: 3, 交点id: 246, 射线角度：10, 最近交点坐标: (171.26, 193.11, 1.42)
观测点id: 3, 交点id: 247, 射线角度：20, 最近交点坐标: (269.64, 236.63, 2.48)
观测点id: 3, 交点id: 248, 射线角度：30, 最近交点坐标: (300.38, 284.15, 2.97)
观测点id: 3, 交点id: 249, 射线角度：40, 最近交点坐标: (253.01, 288.96, 2.60)
观测点id: 3, 交点id: 250, 射线角度：50, 最近交点坐标: (243.65, 321.14, 2.77)
观测点id: 3, 交点id: 251, 射线角度：100, 最近交点坐标: (126.22, 208.10, 1.23)
观测点id: 3, 交点id: 252, 射线角度：110, 最近交点坐标: (122.21, 207.65, 1.23)
观测点id: 3, 交点id: 253, 射线角度：120, 最近交点坐标: (119.10, 204.98, 1.22)
观测点id: 3, 交点id: 254, 射线角度：130, 最近交点坐标: (79.75, 245.91, 1.78)
观测点id: 3, 交点id: 255, 射线角度：140, 最近交点坐标: (94.74, 215.56, 1.46)
观测点id: 3, 交点id: 256, 射线角度：150, 最近交点坐标: (101.14, 202.60, 1.33)
观测点id: 3, 交点id: 257, 射线角度：160, 最近交点坐标: (99.96, 196.84, 1.32)
观测点id: 3, 交点id: 258, 射线角度：170, 最近交点坐标: (91.51, 192.67, 1.39)
